Q,A
kva står SDN for?,software-defined networking. 
Kva gjer input port i ein router (4 ting)?, 1. Fysisk lag funksjon: Inputporten avsluttar ein innkommande fysisk link på ruteren (fysisk lag) 2.Link-lag funksjon: Handterer link-lag oppgåver for å samhandle med link-laget på den andre sida av den innkommande linken. 3.Oppslagsfunksjon: Utfører oppslag i forwarding-tabellen for å bestemme kva utport pakken skal sendast til gjennom switch-fabrikken. 4.Kontrollpakkar: Kontrollpakkar som pakkar med ruteprotokollinformasjon blir sendt frå inputporten til ruteprosessoren.
Kva gjer switching fabric i ein router?,Kobler saman inputporten med outputporten
kva gjer output port i ein router?, lagrer pakkar motatt frå switching fabricen og sender pakkane ut på den utgåande linken etter å ha utført nødvendige funksjonar i link-lag og fysisk lag. På ein to-veis link (som bærer trafikk i begge retningar) er outputporten ofte para med inputporten på same line card.
Kva gjer routing processor i ein router?, Utfører controll-plane funksjona.Den kjører routing-protokolla - vedlikehlad routing-tabella og tillhøyrande link-state informasjon. DEn bereknar og forwarding-tabellen for ruteren. Visst det er ein SDN router så kommuniserar den med ekstern kontroller for å mota og installere forwarding.tabelloppføringa i ruterens imputporta. Utfører også nettverksadminsrasjonsfunksjonar.
Kvifor er input- og outputportar samt switching-fabrikken i ein ruter nesten alltid implementert i hardware?,Dei er nesten alltid implementert i hardware fordi dei må operere ekstremt raskt For eksempel med ei 100 Gbps input-link og ein 64-byte IP-datagram har inputporten berre 5.12 ns på å prosessere datagrammet før eit nytt kan komme Dette er altfor raskt for ein programvareimplementasjon spesielt når fleire portar blir kombinert på ei line card noko som krev at prosesseringa må gå enda raskare
Kva er forskjellen i tidsskala mellom databehandlingsfunksjonane i dataplanet og kontrollfunksjonane i kontrollplanet i ein ruter?, Dataplanet opererer på nanosekund-skalaen medan kontrollplanet som inkluderer utføring av routing-protokollar handtering av lenker som går opp eller ned og kommunikasjon med ein ekstern kontroller opererer på millisekund- eller sekundskalaen
Kva er destinasjonsbasert forwarding i analogien med rundkøyring?,Destinasjonsbasert forwarding i analogien handlar om at ein bil stoppar ved ein innkjøringsstasjon og oppgir sitt endelige reisemål Ein assistent ser på reisemålet og bestemmer kva utkjøring frå rundkøyringa bilen skal ta for å komme dit
Kva er generalisert forwarding i analogien med rundkøyring?, Generalisert forwarding i analogien betyr at assistenten bestemmer bilens utkjøring basert på fleire faktorar enn berre reisemålet Det kan vere basert på bilens opphav som staten bilskiltet kjem frå eller bilens modell eller tilstand
Kva er longest prefix-matching-regelen og korleis blir den brukt i routing),Longest prefix-matching-regelen blir brukt i routing for å avgjere kva rute ein pakke skal følgje Den samanliknar destinasjonsadressa til pakken med fleire oppføringar i routing-tabellen og vel den oppføringa som har det lengste samsvarande prefikset Dette sørger for at pakken blir sendt til den mest spesifikke og nøyaktige ruta
